,N,P,K,ph,Fertility_Status
731,25,65,21,6.880245789,Moderate
732,41,78,21,6.581313137,Moderate
733,53,67,17,7.296972161,Moderate
734,39,60,21,6.97297656,Poor
735,25,76,17,7.241148507,Moderate
736,21,78,19,6.92009048,Moderate
737,57,60,17,7.504608385,Poor
738,56,75,15,7.152272256,Moderate
739,49,72,15,7.137004749,Moderate
740,24,80,19,6.8080417220000005,Moderate
741,49,76,18,7.393631868,Moderate
742,28,68,19,7.69950698,Poor
743,55,78,21,6.602888248999999,Moderate
744,50,64,25,6.734447425,Moderate
745,34,80,19,6.521217963,Moderate
746,20,68,23,7.707332484,Poor
747,55,67,16,6.596719015,Moderate
748,23,70,15,7.403623355,Moderate
749,53,74,15,7.517097,Moderate
750,26,67,16,7.17620823,Moderate
751,33,80,22,6.593961761,Moderate
752,37,79,19,7.143942758,Moderate
753,33,75,21,6.690655045,Moderate
754,22,55,20,7.423530351,Poor
755,20,68,17,6.578714842999999,Moderate
756,43,68,20,7.497469256,Moderate
757,44,76,22,7.775306272000001,Moderate
758,34,60,16,7.322555222999999,Poor
759,21,72,17,7.580527339,Poor
760,25,68,19,7.1084501210000015,Moderate
761,41,62,15,7.358974541,Moderate
762,28,65,23,7.405176138,Moderate
763,35,64,15,6.500144962,Moderate
764,52,58,16,7.167435834,Moderate
765,58,75,25,7.261791753,Moderate
766,34,66,19,7.586642101,Poor
767,52,70,16,7.534811832999999,Moderate
768,23,57,19,7.251000789,Poor
769,42,58,25,6.513620917999999,Moderate
770,37,62,17,7.121254928,Moderate
771,44,75,22,7.574561547,Moderate
772,21,80,20,7.350869792,Moderate
773,56,76,16,7.5131510760000015,Moderate
774,29,76,15,7.0256077060000015,Moderate
775,43,61,20,6.804253866,Moderate
776,55,60,15,7.163043872,Moderate
777,44,63,15,7.338929556,Moderate
778,29,67,21,6.621323612,Moderate
779,47,63,16,6.661870999,Moderate
780,40,68,17,7.733149554,Moderate
781,58,61,15,7.402891666,Moderate
782,41,74,18,6.599147297999999,Moderate
783,58,79,17,7.04174124,Moderate
784,27,62,24,7.353876754,Moderate
785,27,60,17,7.026795358999999,Poor
786,52,65,20,6.814301033,Moderate
787,44,55,25,7.42160832,Moderate
788,21,62,24,6.8473828910000005,Moderate
789,60,59,22,7.191522601,Moderate
790,33,77,21,7.01285529,Moderate
791,59,58,17,7.368318809,Moderate
792,29,63,17,7.26154329,Moderate
793,59,63,18,6.52669158,Moderate
794,29,70,15,6.872594461,Moderate
795,58,73,16,6.874142175,Moderate
796,55,77,22,7.76061831,Moderate
797,42,79,23,6.781841984,Moderate
798,44,77,21,7.326980454,Moderate
799,38,62,25,7.453975408,Moderate
800,32,76,15,7.604110177000001,Poor
801,13,61,22,7.728832424,Poor
802,38,60,20,7.491217102,Poor
803,11,74,17,6.633864582,Moderate
804,37,71,16,7.324863481,Moderate
805,29,71,18,6.410441476,Moderate
806,2,72,18,7.836719564,Poor
807,6,59,21,6.139215944,Poor
808,13,64,20,6.590571088,Moderate
809,8,58,17,7.286049977999999,Poor
810,6,77,20,6.058306161,Moderate
811,2,75,22,6.658605362,Moderate
812,3,69,23,7.299360767,Moderate
813,27,80,24,7.815210661,Poor
814,39,78,15,5.925391795,Moderate
815,40,79,17,6.403683619,Moderate
816,37,62,22,7.397546271,Moderate
817,31,60,24,7.722335992,Poor
818,22,67,22,7.475926645,Moderate
819,3,78,18,6.887130053,Moderate
820,4,80,16,7.441976825,Moderate
821,13,61,24,7.629910252999999,Poor
822,12,66,20,7.336117221,Moderate
823,4,61,21,6.75020529,Moderate
824,9,60,21,7.52178027,Poor
825,18,66,22,6.347379185,Moderate
826,32,56,18,7.135251532000001,Poor
827,6,72,15,7.670178119,Poor
828,15,77,20,7.399749291,Moderate
829,0,65,24,7.841496029,Poor
830,30,79,22,6.254216611,Moderate
831,3,63,16,6.868881707999999,Moderate
832,2,78,23,7.320514721,Moderate
833,10,78,18,6.296976913,Moderate
834,14,67,25,7.241151936,Moderate
835,39,65,23,7.685959305,Poor
836,19,72,15,6.890760124,Moderate
837,18,57,21,6.155915975,Poor
838,31,58,15,6.167855382000001,Poor
839,28,58,25,6.861640036,Poor
840,5,65,19,6.978361689,Moderate
841,16,65,19,7.043160241,Moderate
842,34,65,19,5.94239222,Moderate
843,14,69,19,7.239455147,Moderate
844,22,55,16,6.516317561,Poor
845,24,61,17,6.233269045,Moderate
846,2,79,15,7.505283615,Poor
847,26,63,17,6.950300686,Moderate
848,27,61,15,6.958054839,Moderate
849,24,70,16,6.54803469,Moderate
850,13,74,25,6.461618577,Moderate
851,6,64,23,7.065264073,Moderate
852,12,58,23,6.765091462000001,Poor
853,32,79,22,5.91645379,Moderate
854,6,68,18,6.711341147000001,Moderate
855,10,79,20,6.379881442,Moderate
856,38,77,22,6.313284267999999,Moderate
857,17,74,17,7.393210848,Moderate
858,26,68,24,7.504930973,Poor
859,23,75,17,7.198076286,Moderate
860,32,78,22,7.007037515,Moderate
861,19,79,19,6.677262562,Moderate
862,22,60,18,6.74398035,Poor
863,28,69,16,6.547361617999999,Moderate
864,1,67,21,6.551577598,Moderate
865,12,67,23,6.585020302999999,Moderate
866,36,67,20,6.924042372000001,Moderate
867,28,70,21,7.437373666,Moderate
868,12,71,19,7.142611056000002,Moderate
869,22,68,16,7.74672376,Poor
870,26,66,22,6.300479414,Moderate
871,16,65,16,6.078724107,Moderate
872,14,59,22,6.76660668,Poor
873,33,59,19,7.641024177,Poor
874,21,63,17,6.559681838,Moderate
875,0,69,21,7.072923306,Moderate
876,10,75,17,7.732194787999999,Poor
877,30,61,18,6.157782589,Moderate
878,0,74,17,7.240988401,Moderate
879,35,74,22,6.898905799,Moderate
880,7,63,24,6.818681086000002,Moderate
881,9,56,17,6.261937875,Poor
882,14,74,15,6.493036868,Moderate
883,14,76,20,7.042474679,Moderate
884,36,65,16,7.692013657,Poor
885,28,67,21,6.250994222999999,Moderate
886,28,79,16,6.0521848810000005,Moderate
887,40,61,22,7.002216044,Moderate
888,10,70,19,7.272427638,Moderate
889,12,80,19,5.962001484,Moderate
890,37,77,20,7.080506001,Moderate
891,0,67,22,6.5937983870000005,Moderate
892,7,73,25,7.28805662,Moderate
893,10,56,18,7.32710972,Poor
894,39,70,15,6.366355781,Moderate
895,26,56,22,7.011121216,Poor
896,9,77,17,6.280725549,Moderate
897,4,59,19,7.621494566,Poor
898,34,73,15,7.630424082999999,Poor
899,33,77,15,7.802212437,Poor
900,2,24,38,5.922935513,Poor
901,6,18,37,5.937649577999999,Poor
902,8,26,36,6.804781106,Moderate
903,37,18,39,6.424670614,Poor
904,0,27,38,6.7380162210000005,Moderate
905,31,25,38,6.4973666770000005,Moderate
906,21,21,38,6.327673765,Poor
907,6,30,40,6.36137446,Poor
908,25,27,41,6.9235093710000015,Moderate
909,15,11,38,6.630646082999999,Poor
910,14,5,36,5.832525853,Poor
911,16,10,41,6.738993954,Poor
912,36,7,37,5.782435567,Poor
913,4,20,41,6.537042717,Poor
914,29,22,40,6.145104401,Poor
915,16,15,42,6.890784045,Poor
916,18,27,41,7.175344328,Moderate
917,11,18,42,5.938528744,Poor
918,5,15,38,5.709380472,Poor
919,18,23,44,6.184400085,Poor
920,9,8,40,6.553509673,Poor
921,40,27,45,5.885638185,Moderate
922,22,23,44,6.1438746910000015,Poor
923,9,16,39,6.101198974,Poor
924,12,29,40,6.594037135,Moderate
925,0,17,42,6.8598408210000015,Poor
926,2,21,44,6.56893406,Poor
927,28,6,40,6.769855664,Poor
928,8,23,44,7.130837931,Poor
929,29,16,36,5.7403380020000006,Poor
930,17,18,43,5.843005428,Poor
931,34,21,42,6.648687273999999,Poor
932,21,23,42,6.902751061,Poor
933,25,17,40,6.608023872,Poor
934,8,25,36,6.828522375,Moderate
935,26,18,42,6.910374919,Poor
936,4,19,42,6.306605528,Poor
937,36,24,41,7.009180374,Poor
938,5,24,40,6.297907578999999,Poor
939,19,17,39,6.728599215,Poor
940,39,30,38,6.965156737999999,Poor
941,5,29,44,5.578095745,Moderate
942,4,24,43,7.199504273,Poor
943,38,21,35,5.841367187,Poor
944,37,11,36,6.710143266,Poor
945,9,25,41,5.972714857000001,Moderate
946,29,22,43,5.561851831,Poor
947,5,21,38,6.107054807999999,Poor
948,22,26,38,6.988035315,Moderate
949,4,18,37,7.13147457,Poor
950,21,6,41,7.086947687,Poor
951,29,21,45,6.749260456,Poor
952,23,5,44,7.16300467,Poor
953,13,7,43,7.013481515,Poor
954,5,13,37,5.648243648999999,Poor
955,27,24,41,6.610251186,Poor
956,7,23,35,7.054313822999999,Poor
957,12,20,39,6.026999326,Poor
958,4,19,43,5.7794274020000005,Poor
959,3,9,45,6.535244251,Poor
960,1,27,36,5.684995235,Moderate
961,23,30,44,6.12476108,Poor
962,24,21,42,6.999014379,Poor
963,13,30,37,6.277148771,Poor
964,40,11,44,6.322396027000001,Poor
965,21,9,40,5.956401828,Poor
966,3,27,44,6.591302797000001,Moderate
967,40,29,42,7.104094929,Moderate
968,14,25,40,6.407872061,Moderate
969,38,14,37,6.658402594,Poor
970,34,9,36,6.276038961,Poor
971,32,14,37,6.825256236,Poor
972,18,21,35,6.368560522,Poor
973,8,23,38,7.005410734,Poor
974,15,6,41,6.8973684770000006,Poor
975,0,5,36,6.152906502,Poor
976,22,9,44,5.744361602000001,Poor
977,14,8,43,7.051654924,Poor
978,31,11,45,6.034612928,Poor
979,39,17,45,6.9244907310000015,Poor
980,10,5,42,6.887005997,Poor
981,8,28,38,6.8444019,Moderate
982,32,13,42,5.786058032000001,Poor
983,18,9,40,5.627186257000001,Poor
984,20,27,41,5.700088663,Moderate
985,39,25,36,5.567805185,Moderate
986,20,7,45,6.077886012,Poor
987,11,10,45,6.397995609,Poor
988,40,18,43,5.767372539,Poor
989,3,26,39,7.079973241,Moderate
990,9,16,36,5.893332377999999,Poor
991,30,20,38,7.058222596,Poor
992,40,9,41,5.78270695,Poor
993,40,30,35,6.269663962999999,Moderate
994,32,25,35,5.892913826,Moderate
995,33,23,45,7.116538883,Poor
996,4,14,41,6.430163481,Poor
997,13,17,45,7.159520979,Poor
998,39,24,39,6.431265737,Poor
999,8,28,37,6.082571701,Moderate
1000,91,94,46,6.149934034,Good
1001,105,95,50,5.849076099,Good
1002,108,92,53,6.276800323,Good
1003,86,76,54,5.926824754,Good
1004,80,77,49,5.519088423,Good
1005,93,94,53,6.079178787999999,Good
1006,90,92,55,6.13465588,Good
1007,108,89,53,5.808497603999999,Good
1008,108,88,55,5.891458107,Good
1009,105,77,52,5.816622478999999,Good
1010,118,88,52,5.8431631610000005,Good
1011,101,87,54,6.376756632999999,Good
1012,95,75,50,5.623615687000001,Good
1013,106,85,53,5.91505509,Good
1014,86,95,49,6.458714879,Good
1015,83,79,55,5.565028635,Good
1016,85,95,47,6.211833161,Good
1017,109,79,45,6.490074429,Good
1018,100,76,45,5.590236025,Good
1019,117,86,48,6.225225238999999,Good
1020,114,94,53,6.190757458999999,Good
1021,110,78,50,5.915568968,Good
1022,94,70,48,6.195152442,Good
1023,80,71,47,6.156373499,Good
1024,114,79,51,6.313197204,Good
1025,88,78,45,6.324270089,Good
1026,112,73,48,5.7074889870000005,Good
1027,117,76,47,6.119216009,Good
1028,111,87,48,5.571401169,Good
1029,89,83,47,5.63127166,Good
1030,93,91,47,6.101241579,Good
1031,92,81,52,6.438137278999998,Good
1032,105,74,45,6.098369122,Good
1033,102,71,48,5.695267822000001,Good
1034,94,91,51,5.6180944460000015,Good
1035,116,71,47,6.435785799,Good
1036,117,79,49,6.176644228,Good
1037,119,72,55,6.220643671,Good
1038,99,73,53,5.8717022110000014,Good
1039,91,84,52,6.390741836,Good
1040,80,90,47,6.21084479,Good
1041,101,70,48,6.012696655,Good
1042,108,89,53,5.908770059,Good
1043,100,80,52,6.049801781,Good
1044,109,91,53,6.010095852999999,Good
1045,82,78,46,5.738678895,Good
1046,106,70,55,5.74055541,Good
1047,90,86,52,5.793260262,Good
1048,83,95,50,5.50947065,Good
1049,119,90,48,5.986442306,Good
1050,107,72,45,5.790768046,Good
1051,116,81,55,5.915546415,Good
1052,101,75,50,6.242528277999999,Good
1053,93,81,50,6.0360792660000016,Good
1054,95,75,45,5.829898502000001,Good
1055,107,71,55,6.088064451,Good
1056,83,94,47,6.469370954,Good
1057,102,73,54,5.720726906,Good
1058,86,79,45,5.80766417,Good
1059,117,86,53,5.703381727999999,Good
1060,111,79,53,6.165001277999999,Good
1061,95,74,50,6.002481605,Good
1062,91,75,55,6.212369363,Good
1063,93,83,46,5.765308943,Good
1064,92,85,51,5.740764682000001,Good
1065,104,80,54,5.879119455,Good
1066,103,72,51,6.099478745,Good
1067,92,75,45,5.674403358999999,Good
1068,93,85,49,5.694243847,Good
1069,120,87,52,5.905494703,Good
1070,108,72,46,6.110844721,Good
1071,105,88,54,6.020445317,Good
1072,98,79,50,6.435917308,Good
1073,111,88,55,5.505393832999999,Good
1074,97,74,45,5.677719902000001,Good
1075,95,82,48,5.719014989,Good
1076,89,91,55,6.275572297999999,Good
1077,89,85,55,6.275384607,Good
1078,118,88,51,6.201911642000001,Good
1079,101,92,45,5.758054257,Good
1080,99,92,47,6.3239336470000005,Good
1081,82,77,46,5.901100841,Good
1082,90,86,55,5.644486582000001,Good
1083,95,88,52,6.235461772000001,Good
1084,104,73,46,6.28236237,Good
1085,102,73,52,6.356090905,Good
1086,100,74,52,5.837258235,Good
1087,94,89,48,5.653437902,Good
1088,99,70,46,5.727469947,Good
1089,112,87,48,6.200111067999999,Good
1090,117,82,45,5.614471478,Good
1091,96,86,51,6.257369799,Good
1092,113,85,45,6.037430836,Good
1093,105,93,46,5.760457558,Good
1094,85,89,51,6.1581644220000005,Good
1095,108,94,47,6.387431382999999,Good
1096,92,81,52,5.891413895,Good
1097,110,71,54,5.725418961,Good
1098,82,75,55,6.281069505,Good
1099,117,81,53,5.507641777999999,Good
1100,2,40,27,5.954626604,Poor
1101,39,24,31,4.757114897,Poor
1102,21,26,27,5.6995869720000005,Moderate
1103,25,22,25,5.977413802999999,Poor
1104,0,21,32,6.430139436,Poor
1105,20,19,35,6.113935087000001,Poor
1106,19,21,34,5.074272692,Poor
1107,18,17,31,5.667507706,Poor
1108,11,36,33,5.978634285,Poor
1109,30,28,30,5.064613314,Poor
1110,18,19,27,4.772385986000001,Poor
1111,23,23,27,5.161148592,Poor
1112,37,30,34,6.797779227,Poor
1113,11,27,30,6.39474303,Moderate
1114,12,19,31,5.566704378,Poor
1115,3,28,33,5.755049971,Moderate
1116,37,38,32,5.417340525,Poor
1117,26,37,30,6.166173833999999,Poor
1118,14,18,30,5.191265116,Poor
1119,40,16,35,4.954739564,Poor
1120,4,20,25,5.664587011,Poor
1121,36,25,33,5.548584852,Moderate
1122,30,17,31,6.804437106,Poor
1123,28,37,28,6.097869767000001,Poor
1124,38,15,30,5.075504537,Poor
1125,12,37,30,4.546466109,Poor
1126,38,19,31,5.855119267999999,Poor
1127,8,33,29,6.442393461,Poor
1128,15,27,28,4.507523551,Poor
1129,34,16,25,6.10729559,Poor
1130,11,36,31,6.47544932,Poor
1131,33,29,34,6.832979508999999,Moderate
1132,12,31,26,5.395275719,Poor
1133,12,34,28,6.13526938,Poor
1134,5,16,31,4.555688532,Poor
1135,1,30,29,6.4341977560000005,Poor
1136,16,35,31,5.316875978000001,Poor
1137,35,18,26,5.279388967,Poor
1138,4,40,26,6.720041791,Poor
1139,9,29,34,5.72742254,Moderate
1140,2,38,33,4.691396195,Poor
1141,26,32,32,6.810186079,Poor
1142,34,38,31,6.454045329,Poor
1143,5,32,33,5.842763773,Poor
1144,31,29,26,5.024124683999999,Poor
1145,34,34,35,6.422710539,Poor
1146,36,19,32,4.94295037,Poor
1147,7,17,26,6.414526606,Poor
1148,38,15,27,6.777788126,Poor
1149,5,19,25,6.441328044,Poor
1150,37,36,26,4.650536197,Poor
1151,21,31,32,5.254532213,Poor
1152,37,36,27,5.910634533,Poor
1153,23,23,30,4.755273631000001,Poor
1154,36,26,26,6.814630246,Moderate
1155,24,33,35,5.342866119,Poor
1156,26,18,30,6.336234623999999,Poor
1157,22,17,26,4.754435025,Poor
1158,11,34,32,6.831706773,Poor
1159,29,35,28,6.9674177660000005,Poor
1160,22,28,26,4.947683034,Poor
1161,23,24,32,5.630619901,Poor
1162,1,35,34,6.27339822,Poor
1163,2,24,34,6.472774648,Poor
1164,39,37,25,6.953246506,Poor
1165,15,36,27,5.6437102160000014,Poor
1166,3,18,31,6.392313972999999,Poor
1167,8,38,32,4.981816523,Poor
1168,33,31,34,5.421265282999999,Poor
1169,14,29,32,6.942520105,Moderate
1170,18,20,26,5.435840509,Poor
1171,9,21,32,5.870116071,Poor
1172,20,30,27,4.74910393,Poor
1173,9,38,25,5.497946899,Poor
1174,26,24,34,6.811291098,Poor
1175,31,36,29,6.460542749,Poor
1176,14,18,35,4.791146778,Poor
1177,40,16,35,6.4841522000000005,Poor
1178,28,27,34,6.526654345,Moderate
1179,0,17,30,6.279133738,Poor
1180,1,29,29,6.052026047000001,Moderate
1181,2,36,31,5.73171945,Poor
1182,12,27,26,5.32307197,Poor
1183,7,28,35,4.66910839,Poor
1184,0,36,26,5.101206389,Poor
1185,26,35,31,5.339556562,Poor
1186,27,21,30,5.061081874,Poor
1187,22,38,31,5.8211060360000015,Poor
1188,22,18,31,5.956027059,Poor
1189,28,23,28,5.676032581,Poor
1190,7,31,27,6.524114355,Poor
1191,29,34,26,6.2739536760000005,Poor
1192,8,37,33,6.128167757000001,Poor
1193,39,16,27,4.934964765,Poor
1194,40,24,25,5.445008416,Poor
1195,19,38,26,4.525722333,Poor
1196,21,21,30,5.403908327999999,Poor
1197,22,18,33,6.621623545,Poor
1198,31,20,30,6.207495815,Poor
1199,18,26,31,5.418475257000001,Poor
1200,24,130,195,6.112305667,Good
1201,13,144,204,6.092241627000001,Good
1202,22,123,205,5.896343436,Good
1203,36,125,196,6.15526103,Good
1204,24,131,196,5.732453638,Good
1205,2,123,198,6.253034534,Good
1206,35,140,197,6.106190557000001,Good
1207,11,122,195,5.647202395,Good
1208,6,123,203,6.130310493,Good
1209,17,134,204,6.499604931,Good
1210,25,130,197,5.554831977,Good
1211,27,145,205,5.800242694,Good
1212,9,122,201,5.570290539,Good
1213,16,139,203,6.27564088,Good
1214,32,141,204,5.536645599,Good
1215,22,138,195,6.208196881,Good
1216,31,144,202,5.870600622,Good
1217,3,136,205,6.334771461,Good
1218,28,122,197,5.856575335,Good
1219,4,136,204,5.898944282,Good
1220,39,145,201,5.775600435,Good
1221,38,132,197,5.931101816,Good
1222,36,133,198,6.2286454,Good
1223,25,121,201,5.594240602999999,Good
1224,15,125,199,5.569230319,Good
1225,24,140,205,5.93202852,Good
1226,13,132,203,6.423216506,Good
1227,5,126,197,6.417500829,Good
1228,30,120,200,6.234904253,Good
1229,23,142,197,6.000573725,Good
1230,26,135,203,5.6851027689999984,Good
1231,7,126,203,5.662140095,Good
1232,32,139,198,6.358186848,Good
1233,9,141,202,6.119495295,Good
1234,20,142,196,6.207600782999999,Good
1235,32,129,201,6.48754639,Good
1236,3,134,199,5.81717753,Good
1237,38,138,204,6.325480034,Good
1238,14,131,198,5.562790949,Good
1239,20,122,204,6.487369687,Good
1240,40,126,201,6.116982944,Good
1241,36,128,204,5.695792761,Good
1242,11,132,197,5.7343170070000005,Good
1243,0,137,195,6.329499832000001,Good
1244,19,123,200,6.167013532,Good
1245,31,136,197,5.653776057999999,Good
1246,4,134,200,5.840256272,Good
1247,39,139,201,5.5399808120000005,Good
1248,8,127,196,5.833302165,Good
1249,39,138,203,6.399433771,Good
1250,32,120,204,6.138958698,Good
1251,12,142,203,5.972850837999999,Good
1252,8,133,195,6.456079585,Good
1253,8,139,199,6.3364266670000005,Good
1254,21,134,202,6.425419926,Good
1255,40,140,195,6.2943956760000015,Good
1256,39,127,202,6.477768039,Good
1257,19,120,195,5.931538447,Good
1258,21,139,201,5.980598579,Good
1259,17,136,195,6.389783283,Good
1260,33,139,203,5.693287415,Good
1261,22,133,201,6.00299607,Good
1262,32,130,196,6.372959542,Good
1263,37,135,205,5.510924848999999,Good
1264,15,140,195,5.69945282,Good
1265,39,132,196,5.778594403,Good
1266,40,121,199,6.315586313,Good
1267,40,132,202,5.9718130060000005,Good
1268,29,142,203,5.891195653,Good
1269,32,121,199,6.129812716,Good
1270,6,140,205,6.313085601,Good
1271,8,120,196,6.053662544,Good
1272,34,133,202,5.804799142,Good
1273,35,135,199,6.400719746,Good
1274,16,145,199,5.953966361,Good
1275,8,136,201,5.6092559920000005,Good
1276,25,129,195,5.777271492000001,Good
1277,16,130,201,5.682395429,Good
1278,39,129,203,5.863996687,Good
1279,38,135,203,6.444373116,Good
1280,33,120,205,5.550832177999999,Good
1281,35,125,204,6.107741787999999,Good
1282,1,132,200,5.620745638,Good
1283,39,140,203,6.349875906,Good
1284,28,145,202,6.484323189,Good
1285,6,128,200,5.838748311,Good
1286,6,139,199,6.29099842,Good
1287,29,122,196,5.638328481,Good
1288,37,144,197,6.415555956,Good
1289,38,120,197,6.323722572,Good
1290,38,141,198,5.757009965,Good
1291,14,121,203,6.1586894060000015,Good
1292,6,125,204,5.7335398070000005,Good
1293,32,138,197,5.908724337000001,Good
1294,11,124,204,6.361141107000001,Good
1295,23,138,200,5.96537863,Good
1296,40,143,201,6.476757723,Good
1297,6,142,202,6.224542938,Good
1298,37,124,195,6.209928251,Good
1299,35,134,204,5.841138354,Good
1300,119,25,51,6.283818329,Good
1301,119,19,55,6.818261382999999,Moderate
1302,105,30,50,6.37620108,Moderate
1303,114,8,50,6.581587932000001,Moderate
1304,93,22,52,6.932739726,Moderate
1305,80,26,55,6.140099215,Good
1306,85,27,45,6.467095849,Good
1307,85,22,53,6.849471704,Moderate
1308,82,22,45,6.512196212,Moderate
1309,118,13,54,6.039584629,Moderate
1310,83,25,53,6.057697106,Good
1311,86,15,47,6.423898762,Moderate
1312,101,10,47,6.936997681,Moderate
1313,119,9,50,6.251286661,Moderate
1314,104,17,46,6.190015912000001,Moderate
1315,95,12,51,6.681606702000001,Moderate
1316,102,14,52,6.51075991,Moderate
1317,109,21,55,6.770278088,Moderate
1318,81,18,50,6.429788072999999,Moderate
1319,103,17,51,6.209888345,Moderate
1320,105,14,50,6.419052193,Moderate
1321,97,8,52,6.237861736,Moderate
1322,120,19,49,6.762471628999998,Moderate
1323,95,16,55,6.612847999,Moderate
1324,83,29,52,6.704688865,Good
1325,83,9,45,6.049609892,Moderate
1326,91,21,50,6.762030215,Moderate
1327,116,5,54,6.65398725,Moderate
1328,112,28,54,6.738030547,Good
1329,88,29,51,6.095689937,Good
1330,118,15,45,6.538006356,Moderate
1331,92,21,48,6.377427122,Moderate
1332,106,14,45,6.417011754,Moderate
1333,99,5,47,6.649086972,Moderate
1334,98,8,51,6.25933595,Moderate
1335,108,22,46,6.121168559,Moderate
1336,119,7,55,6.031424482,Moderate
1337,117,27,48,6.835268183999999,Good
1338,109,10,53,6.5517503060000015,Moderate
1339,80,16,46,6.940236218,Moderate
1340,100,18,52,6.87606733,Moderate
1341,91,7,53,6.457216535,Moderate
1342,86,6,53,6.921847887999999,Moderate
1343,107,5,52,6.8814257460000015,Moderate
1344,103,16,49,6.915717008,Moderate
1345,101,20,48,6.206247493999999,Moderate
1346,85,25,47,6.29542477,Good
1347,84,7,51,6.399669044,Moderate
1348,102,28,54,6.862157042000001,Good
1349,98,25,52,6.224066378,Good
1350,97,25,50,6.093814669,Good
1351,90,16,45,6.291540277999999,Moderate
1352,95,12,46,6.32281728,Moderate
1353,82,23,49,6.873283991,Moderate
1354,82,25,51,6.074209622000001,Good
1355,110,28,46,6.49889585,Good
1356,118,21,51,6.678805092,Moderate
1357,120,20,45,6.114128685,Moderate
1358,91,7,52,6.405054243,Moderate
1359,81,6,55,6.110142735,Moderate
1360,101,13,54,6.828982708,Moderate
1361,101,17,55,6.451499763999999,Moderate
1362,111,6,53,6.313512998999999,Moderate
1363,107,10,49,6.755192025,Moderate
1364,115,11,46,6.623167177000001,Moderate
1365,84,25,52,6.12532356,Good
1366,120,7,47,6.653867608,Moderate
1367,91,12,46,6.343942518,Moderate
1368,89,22,52,6.217300786,Moderate
1369,113,19,46,6.286387658,Moderate
1370,97,22,50,6.769893799999998,Moderate
1371,117,30,50,6.744966312000001,Moderate
1372,90,14,52,6.391858432,Moderate
1373,104,23,47,6.770434148,Moderate
1374,81,16,45,6.727468157000001,Moderate
1375,88,5,47,6.662244646,Moderate
1376,92,7,45,6.944640222,Moderate
1377,81,18,50,6.507110986,Moderate
1378,111,5,55,6.520663422,Moderate
1379,108,23,51,6.106500787000001,Moderate
1380,113,30,50,6.277484042999999,Moderate
1381,83,10,53,6.195142279,Moderate
1382,101,11,51,6.792035575,Moderate
1383,114,21,55,6.472756256,Moderate
1384,99,6,45,6.000975617000001,Moderate
1385,92,20,55,6.5877912620000005,Moderate
1386,92,7,48,6.956508826,Moderate
1387,91,24,55,6.259086582999999,Moderate
1388,110,21,54,6.747537642,Moderate
1389,112,25,51,6.932537231,Good
1390,89,25,54,6.353107392999999,Good
1391,100,10,53,6.211748957,Moderate
1392,83,22,54,6.277245253999999,Moderate
1393,95,14,50,6.560443519,Moderate
1394,119,30,49,6.903020221,Moderate
1395,97,12,47,6.765094963999998,Moderate
1396,110,7,45,6.189213927000001,Moderate
1397,96,18,50,6.904241707000001,Moderate
1398,83,23,55,6.463271076,Moderate
1399,120,24,47,6.260838965,Moderate
1400,115,17,55,6.776533055,Moderate
1401,114,27,48,6.528404377999999,Good
1402,101,25,52,6.750145572,Good
1403,118,18,52,6.562832807,Moderate
1404,95,26,45,6.117530021,Good
1405,81,25,49,6.076459669,Good
1406,117,24,53,6.293486295,Moderate
1407,114,30,51,6.069171847000001,Moderate
1408,113,6,52,6.740983646,Moderate
1409,108,26,52,6.201797639,Good
1410,81,30,48,6.041027474,Moderate
1411,115,9,52,6.019372459,Moderate
1412,83,7,45,6.704104127000001,Moderate
1413,84,21,55,6.494251024,Moderate
1414,109,26,45,6.224535448999998,Good
1415,95,27,55,6.160414414,Good
1416,119,5,55,6.168757984,Moderate
1417,110,14,51,6.085444691,Moderate
1418,82,18,48,6.1590508160000015,Moderate
1419,87,14,48,6.606033244,Moderate
1420,85,9,53,6.447662945,Moderate
1421,100,6,53,6.105909623,Moderate
1422,107,12,46,6.559763394,Moderate
1423,91,13,47,6.14410903,Moderate
1424,102,25,50,6.099662369,Good
1425,117,25,53,6.413927319,Good
1426,85,21,52,6.0751441160000015,Moderate
1427,104,25,55,6.123802502,Good
1428,102,24,54,6.698468621,Moderate
1429,116,25,50,6.088885814,Good
1430,100,17,48,6.367800632000001,Moderate
1431,110,25,54,6.425930938,Good
1432,104,25,51,6.469983276000002,Good
1433,107,11,54,6.094016337999999,Moderate
1434,98,26,52,6.150090898999999,Good
1435,88,17,52,6.646962425,Moderate
1436,87,25,46,6.379690748,Good
1437,120,8,46,6.732834334,Moderate
1438,95,13,46,6.126019932,Moderate
1439,108,22,47,6.161123579,Moderate
1440,82,13,52,6.442810053,Moderate
1441,120,23,55,6.732049075,Moderate
1442,110,22,47,6.243673725,Moderate
1443,95,23,45,6.266208727,Moderate
1444,106,10,49,6.350623739,Moderate
1445,99,12,52,6.002927293,Moderate
1446,106,20,51,6.342573112,Moderate
1447,83,11,53,6.163921247999999,Moderate
1448,117,19,55,6.121745389,Moderate
1449,98,26,49,6.130160472999999,Good
1450,113,20,48,6.440584681,Moderate
1451,101,17,47,6.185053234,Moderate
1452,98,7,45,6.157724816,Moderate
1453,93,22,48,6.776987974,Moderate
1454,95,21,47,6.431970877,Moderate
1455,109,12,48,6.708743843,Moderate
1456,118,12,47,6.010739645,Moderate
